Wk,Winner,Pts,Loser,Pts.1,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,win_rank,lose_rank,day_code,hours,null,half,quart,three_quart
3,Rutgers,66,Wagner,7,Rutgers,Wagner,99,99,94,211,0,99,99,5,16,1,0,0,0
3,San Diego State,38,Idaho State,7,San Diego State,Idaho State,99,99,95,77,0,99,99,5,20,1,0,0,0
3,South Alabama,38,Central Michigan,24,South Alabama,Central Michigan,99,99,20,164,1,99,99,5,13,1,0,0,0
3,South Florida,42,Howard,20,South Florida,Howard,99,99,99,75,0,99,99,5,19,1,0,0,0
3,(10) Southern California,41,Stanford,28,Southern California,Stanford,99,10,103,173,1,10,99,5,19,0,1,0,0
3,Southern Methodist,45,Lamar,16,Southern Methodist,Lamar,99,99,101,93,0,99,99,5,19,1,0,0,0
3,Syracuse,48,Connecticut,14,Syracuse,Connecticut,99,99,27,182,1,99,99,5,19,1,0,0,0
3,Temple,30,Lafayette,14,Temple,Lafayette,99,99,105,92,0,99,99,5,14,1,0,0,0
3,(24) Tennessee,34,(17) Pittsburgh,27,Tennessee,Pittsburgh,17,24,91,185,1,24,17,5,15,0,1,0,0
3,Texas Christian,59,Tarleton State,17,Texas Christian,Tarleton State,99,99,109,183,0,99,99,5,20,1,0,0,0
3,Texas State,41,Florida International,12,Texas State,Florida International,99,99,110,60,0,99,99,5,19,1,0,0,0
3,Texas Tech,33,(25) Houston,30,Texas Tech,Houston,99,25,111,73,0,99,25,5,16,1,0,0,0
3,Texas-El Paso,20,New Mexico State,13,Texas-El Paso,New Mexico State,99,99,112,126,0,99,99,5,21,1,0,0,0
3,Texas-San Antonio,41,Army,38,Texas-San Antonio,Army,99,99,9,196,1,99,99,5,12,1,0,0,0
3,Toledo,55,Massachusetts,10,Toledo,Massachusetts,99,99,114,104,0,99,99,5,19,1,0,0,0
3,Troy,38,Alabama A&M,17,Troy,Alabama A&M,99,99,115,4,0,99,99,5,20,1,0,0,0
3,Tulane,52,Alcorn State,0,Tulane,Alcorn State,99,99,116,8,0,99,99,5,19,1,0,0,0
3,Tulsa,38,Northern Illinois,35,Tulsa,Northern Illinois,99,99,117,138,0,99,99,5,19,1,0,0,0
3,UCLA,45,Alabama State,7,UCLA,Alabama State,99,99,118,5,0,99,99,5,17,1,0,0,0
3,(13) Utah,73,Southern Utah,7,Utah,Southern Utah,13,99,119,177,0,13,99,5,13,0,1,0,0
3,Virginia Tech,27,Boston College,10,Virginia Tech,Boston College,99,99,123,22,0,99,99,5,20,1,0,0,0
3,(23) Wake Forest,45,Vanderbilt,25,Wake Forest,Vanderbilt,99,23,121,212,1,23,99,5,12,1,0,0,0
3,Washington,52,Portland State,6,Washington,Portland State,99,99,125,152,0,99,99,5,16,1,0,0,0
3,Washington State,17,(19) Wisconsin,14,Washington State,Wisconsin,19,99,130,214,1,99,19,5,15,0,1,0,0
3,Weber State,35,Utah State,7,Weber State,Utah State,99,99,120,215,1,99,99,5,19,1,0,0,0
3,Western Michigan,37,Ball State,30,Western Michigan,Ball State,99,99,11,220,1,99,99,5,14,1,0,0,0
3,Wyoming,33,Northern Colorado,10,Wyoming,Northern Colorado,99,99,131,137,0,99,99,5,16,1,0,0,0
4,Florida State,35,Louisville,31,Florida State,Louisville,99,99,56,61,1,99,99,4,19,0,1,0,0
4,Wyoming,17,Air Force,14,Wyoming,Air Force,99,99,131,1,0,99,99,4,20,1,0,0,0
4,(2) Alabama,63,Louisiana-Monroe,7,Alabama,Louisiana-Monroe,2,99,2,99,0,2,99,5,16,1,0,0,0
4,Alabama-Birmingham,35,Georgia Southern,21,Alabama-Birmingham,Georgia Southern,99,99,3,67,0,99,99,5,15,0,1,0,0
4,Appalachian State,32,Troy,28,Appalachian State,Troy,99,99,4,199,0,99,99,5,15,0,1,0,0
4,Arizona,31,North Dakota State,28,Arizona,North Dakota State,99,99,5,134,0,99,99,5,11,1,0,0,0
4,(10) Arkansas,38,Missouri State,27,Arkansas,Missouri State,10,99,7,117,0,10,99,5,19,1,0,0,0
4,Army,49,Villanova,10,Army,Villanova,99,99,9,207,0,99,99,5,12,1,0,0,0
4,Ball State,31,Murray State,0,Ball State,Murray State,99,99,11,119,0,99,99,5,14,1,0,0,0
4,(17) Baylor,42,Texas State,7,Baylor,Texas State,17,99,12,193,0,17,99,5,12,1,0,0,0
4,Boise State,30,Tennessee-Martin,7,Boise State,Tennessee-Martin,99,99,13,188,0,99,99,5,16,1,0,0,0
4,Boston College,38,Maine,17,Boston College,Maine,99,99,14,101,0,99,99,5,19,0,1,0,0
4,Bowling Green,34,Marshall,31,Bowling Green,Marshall,99,99,15,102,0,99,99,5,17,1,0,0,0
4,Central Florida,40,Florida Atlantic,14,Central Florida,Florida Atlantic,99,99,32,34,1,99,99,5,19,0,1,0,0
4,Central Michigan,41,Bucknell,0,Central Michigan,Bucknell,99,99,20,26,0,99,99,5,13,1,0,0,0
4,Charlotte,42,Georgia State,41,Charlotte,Georgia State,99,99,38,37,1,99,99,5,19,1,0,0,0
4,Cincinnati,38,Miami (OH),17,Cincinnati,Miami (OH),99,99,72,226,3,99,99,5,12,1,0,0,0
4,(5) Clemson,48,Louisiana Tech,20,Clemson,Louisiana Tech,5,99,23,98,0,5,99,5,20,1,0,0,0
4,Coastal Carolina,38,Buffalo,26,Coastal Carolina,Buffalo,99,99,24,27,0,99,99,5,13,1,0,0,0
4,Duke,49,North Carolina A&T,20,Duke,North Carolina A&T,99,99,28,131,0,99,99,5,18,1,0,0,0
4,East Carolina,49,Campbell,10,East Carolina,Campbell,99,99,29,31,0,99,99,5,18,1,0,0,0
4,Eastern Michigan,30,Arizona State,21,Eastern Michigan,Arizona State,99,99,6,54,1,99,99,5,11,1,0,0,0
4,(18) Florida,31,South Florida,28,Florida,South Florida,18,99,31,169,0,18,99,5,19,0,1,0,0
4,(1) Georgia,48,South Carolina,7,Georgia,South Carolina,99,1,98,66,1,1,99,5,12,1,0,0,0
4,Indiana,33,Western Kentucky,30,Indiana,Western Kentucky,99,99,43,219,0,99,99,5,12,1,0,0,0
4,Iowa,27,Nevada,0,Iowa,Nevada,99,99,44,122,0,99,99,5,19,0,1,0,0
4,Iowa State,43,Ohio,10,Iowa State,Ohio,99,99,45,143,0,99,99,5,14,1,0,0,0
4,Kansas,48,Houston,30,Kansas,Houston,99,99,41,87,1,99,99,5,16,1,0,0,0
4,Kent State,63,Long Island,10,Kent State,Long Island,99,99,49,95,0,99,99,5,12,1,0,0,0
4,(9) Kentucky,31,Youngstown State,0,Kentucky,Youngstown State,9,99,50,225,0,9,99,5,12,1,0,0,0
4,Louisiana State,31,Mississippi State,16,Louisiana State,Mississippi State,99,99,53,115,0,99,99,5,18,1,0,0,0
4,Maryland,34,Southern Methodist,27,Maryland,Southern Methodist,99,99,58,175,0,99,99,5,19,0,1,0,0
4,Massachusetts,20,Stony Brook,3,Massachusetts,Stony Brook,99,99,59,181,0,99,99,5,15,0,1,0,0
4,Memphis,44,Arkansas State,32,Memphis,Arkansas State,99,99,60,13,0,99,99,5,19,1,0,0,0
4,(4) Michigan,59,Connecticut,0,Michigan,Connecticut,4,99,63,46,0,4,99,5,12,1,0,0,0
4,Middle Tennessee State,49,Tennessee State,6,Middle Tennessee State,Tennessee State,99,99,65,186,0,99,99,5,19,1,0,0,0
4,Minnesota,49,Colorado,7,Minnesota,Colorado,99,99,66,44,0,99,99,5,15,0,1,0,0
4,(20) Mississippi,42,Georgia Tech,0,Mississippi,Georgia Tech,99,20,39,114,1,20,99,5,15,0,1,0,0
4,Missouri,34,Abilene Christian,17,Missouri,Abilene Christian,99,99,69,0,0,99,99,5,12,1,0,0,0
4,Nevada-Las Vegas,58,North Texas,27,Nevada-Las Vegas,North Texas,99,99,74,135,0,99,99,5,15,1,0,0,0
4,New Mexico,27,Texas-El Paso,10,New Mexico,Texas-El Paso,99,99,75,195,0,99,99,5,20,1,0,0,0
4,(16) North Carolina State,27,Texas Tech,14,North Carolina State,Texas Tech,16,99,78,194,0,16,99,5,19,1,0,0,0
4,Notre Dame,24,California,17,Notre Dame,California,99,99,82,29,0,99,99,5,14,0,1,0,0
4,(3) Ohio State,77,Toledo,21,Ohio State,Toledo,3,99,84,197,0,3,99,5,19,1,0,0,0
4,(6) Oklahoma,49,Nebraska,14,Oklahoma,Nebraska,99,6,71,145,1,6,99,5,12,1,0,0,0
4,(8) Oklahoma State,63,Arkansas-Pine Bluff,7,Oklahoma State,Arkansas-Pine Bluff,8,99,86,14,0,8,99,5,19,1,0,0,0
4,(25) Oregon,41,(12) Brigham Young,20,Oregon,Brigham Young,25,12,88,24,0,25,12,5,15,0,1,0,0
4,Oregon State,68,Montana State,28,Oregon State,Montana State,99,99,72,226,3,99,99,5,20,1,0,0,0
4,(22) Penn State,41,Auburn,12,Penn State,Auburn,99,22,10,150,1,22,99,5,15,0,1,0,0
4,(23) Pittsburgh,34,Western Michigan,13,Pittsburgh,Western Michigan,99,23,129,151,1,23,99,5,19,0,1,0,0
4,Rice,33,Louisiana,21,Rice,Louisiana,99,99,93,96,0,99,99,5,19,0,1,0,0
4,Rutgers,16,Temple,14,Rutgers,Temple,99,99,105,158,1,99,99,5,14,1,0,0,0
4,(7) Southern California,45,Fresno State,17,Southern California,Fresno State,7,99,100,63,0,7,99,5,22,0,1,0,0
