Wk,Time,Winner,Pts,Loser,Pts.1,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,win_rank,lose_rank,dates,day_code
3,7:00 PM,Southern Methodist,45,Lamar,16,Southern Methodist,Lamar,99,99,101,92,0,99,99,2022-09-10,5
3,7:00 PM,Syracuse,48,Connecticut,14,Syracuse,Connecticut,99,99,27,180,1,99,99,2022-09-10,5
3,2:00 PM,Temple,30,Lafayette,14,Temple,Lafayette,99,99,105,91,0,99,99,2022-09-10,5
3,3:30 PM,(24) Tennessee,34,(17) Pittsburgh,27,Tennessee,Pittsburgh,99,99,91,183,1,24,17,2022-09-10,5
3,8:00 PM,Texas Christian,59,Tarleton State,17,Texas Christian,Tarleton State,99,99,109,181,0,99,99,2022-09-10,5
3,7:00 PM,Texas State,41,Florida International,12,Texas State,Florida International,99,99,110,59,0,99,99,2022-09-10,5
3,4:00 PM,Texas Tech,33,(25) Houston,30,Texas Tech,Houston,99,99,111,72,0,99,25,2022-09-10,5
3,9:00 PM,Texas-El Paso,20,New Mexico State,13,Texas-El Paso,New Mexico State,99,99,112,125,0,99,99,2022-09-10,5
3,12:00 PM,Texas-San Antonio,41,Army,38,Texas-San Antonio,Army,99,99,9,194,1,99,99,2022-09-10,5
3,7:00 PM,Toledo,55,Massachusetts,10,Toledo,Massachusetts,99,99,114,103,0,99,99,2022-09-10,5
3,8:00 PM,Troy,38,Alabama A&M,17,Troy,Alabama A&M,99,99,115,4,0,99,99,2022-09-10,5
3,7:00 PM,Tulane,52,Alcorn State,0,Tulane,Alcorn State,99,99,116,8,0,99,99,2022-09-10,5
3,7:00 PM,Tulsa,38,Northern Illinois,35,Tulsa,Northern Illinois,99,99,117,136,0,99,99,2022-09-10,5
3,5:00 PM,UCLA,45,Alabama State,7,UCLA,Alabama State,99,99,118,5,0,99,99,2022-09-10,5
3,1:30 PM,(13) Utah,73,Southern Utah,7,Utah,Southern Utah,99,99,119,175,0,13,99,2022-09-10,5
