first,second,third,fourth,fifth,powerball
6,11,15,22,27,16
4,7,31,34,41,37
2,26,33,34,39,26
6,10,19,38,43,40
8,10,14,41,42,36
7,15,20,23,45,26
11,14,22,38,41,6
1,4,20,27,29,26
2,37,38,39,42,20
5,18,40,44,47,35
3,27,31,32,41,18
12,26,32,41,46,27
4,12,21,38,46,28
13,17,37,45,49,23
5,9,22,34,42,41
4,10,14,29,39,20
6,11,32,37,47,17
3,5,20,45,46,39
13,19,24,44,45,17
17,21,28,42,43,22
14,16,18,22,41,34
26,32,41,44,45,33
4,7,27,34,39,18
3,16,24,34,48,37
19,24,32,43,44,4
24,32,42,44,47,2
1,17,27,35,36,10
17,21,23,33,45,13
1,19,40,47,49,37
2,13,21,22,47,16
14,18,20,29,42,25
4,6,12,28,42,37
5,14,20,22,26,35
4,25,29,36,46,1
16,22,27,40,43,3
20,28,40,43,47,39
10,13,17,23,36,15
15,16,27,44,47,31
6,31,38,46,47,11
11,17,18,19,28,14
13,28,32,33,38,31
12,27,33,42,49,2
11,24,26,38,41,6
3,20,22,37,44,35
2,12,15,33,41,8
5,8,18,36,38,5
5,8,21,46,49,31
6,9,10,26,48,23
2,7,10,34,39,14
10,14,18,32,33,21
13,14,22,32,42,34
13,24,27,30,45,14
2,13,26,27,49,31
1,24,27,28,43,7
6,15,25,44,47,36
21,23,32,34,42,33
2,16,32,40,47,40
19,39,45,46,49,34
13,14,15,31,37,10
15,16,22,42,43,12
2,22,29,30,44,2
7,19,43,46,47,26
5,17,40,44,48,18
16,17,20,28,49,4
1,3,27,38,42,25
8,18,20,31,47,7
4,27,29,39,41,5
5,13,34,41,48,15
12,14,26,35,36,17
5,10,17,24,37,10
3,5,9,42,48,11
3,8,9,20,49,36
15,26,28,40,48,4
4,6,20,25,31,26
4,9,12,33,48,34
6,8,11,18,39,24
3,4,13,29,38,11
12,32,37,40,49,16
6,30,43,45,48,7
3,12,30,41,46,37
12,30,39,43,46,15
14,15,19,38,44,35
2,11,23,28,31,22
11,14,17,25,36,9
21,22,29,30,38,6
7,9,23,37,49,18
12,16,20,26,32,40
14,23,24,45,48,21
9,10,12,31,41,37
21,24,37,44,45,32
5,29,36,40,49,32
6,11,34,41,44,10
6,10,12,16,29,20
6,8,28,32,47,39
18,25,30,43,46,38
4,16,32,34,41,1
12,31,35,37,44,39
1,6,21,33,40,7
9,32,38,41,44,35
7,28,35,40,48,21
5,15,16,28,32,37
9,13,23,36,45,24
